id,parent_id,name,type,order,status,callsign,lat,lon
SEC-SUR-A-05,SEC-SUR-INT-A,Agente A5,operator,4,active,SECTOR-S-A5,40.398300,-3.698750
SEC-SUR-B-01,SEC-SUR-INT-B,Agente B1,operator,0,active,SECTOR-S-B1,40.393400,-3.701500
SEC-SUR-B-02,SEC-SUR-INT-B,Agente B2,operator,1,active,SECTOR-S-B2,40.393300,-3.701400
SEC-SUR-B-03,SEC-SUR-INT-B,Agente B3,operator,2,active,SECTOR-S-B3,40.393200,-3.701300
SEC-SUR-B-04,SEC-SUR-INT-B,Agente B4,operator,3,active,SECTOR-S-B4,40.393100,-3.701200
SEC-SUR-B-05,SEC-SUR-INT-B,Agente B5,operator,4,active,SECTOR-S-B5,40.393000,-3.701100
SEC-SUR-M-01,SEC-SUR-MOTO,Patrulla Motorizada 1,operator,0,active,SECTOR-S-M1,40.396840,-3.702190
SEC-SUR-M-02,SEC-SUR-MOTO,Patrulla Motorizada 2,operator,1,active,SECTOR-S-M2,40.396980,-3.702280
SEC-SUR-M-03,SEC-SUR-MOTO,Patrulla Motorizada 3,operator,2,active,SECTOR-S-M3,40.397120,-3.702370
SEC-SUR-M-04,SEC-SUR-MOTO,Patrulla Motorizada 4,operator,3,active,SECTOR-S-M4,40.397260,-3.702460
SEC-ESTE,PMM-OPS-20260308,Sector Este,command,3,active,SECTOR-E,40.419800,-3.677000
SEC-ESTE-INT-A,SEC-ESTE,Equipo Intervencion A,team,0,active,SECTOR-E-A,40.422000,-3.675200
SEC-ESTE-INT-B,SEC-ESTE,Equipo Intervencion B,team,1,active,SECTOR-E-B,40.417800,-3.678600
SEC-ESTE-MOTO,SEC-ESTE,Unidad Motorizada,unit,2,active,SECTOR-E-M,40.421000,-3.679100
SEC-ESTE-A-01,SEC-ESTE-INT-A,Agente A1,operator,0,active,SECTOR-E-A1,40.422120,-3.675310
SEC-ESTE-A-02,SEC-ESTE-INT-A,Agente A2,operator,1,active,SECTOR-E-A2,40.422240,-3.675420
SEC-ESTE-A-03,SEC-ESTE-INT-A,Agente A3,operator,2,active,SECTOR-E-A3,40.422360,-3.675530
SEC-ESTE-A-04,SEC-ESTE-INT-A,Agente A4,operator,3,active,SECTOR-E-A4,40.422480,-3.675640
SEC-ESTE-A-05,SEC-ESTE-INT-A,Agente A5,operator,4,active,SECTOR-E-A5,40.422600,-3.675750
SEC-ESTE-B-01,SEC-ESTE-INT-B,Agente B1,operator,0,active,SECTOR-E-B1,40.417700,-3.678500
SEC-ESTE-B-02,SEC-ESTE-INT-B,Agente B2,operator,1,active,SECTOR-E-B2,40.417600,-3.678400
SEC-ESTE-B-03,SEC-ESTE-INT-B,Agente B3,operator,2,active,SECTOR-E-B3,40.417500,-3.678300
SEC-ESTE-B-04,SEC-ESTE-INT-B,Agente B4,operator,3,active,SECTOR-E-B4,40.417400,-3.678200
SEC-ESTE-B-05,SEC-ESTE-INT-B,Agente B5,operator,4,active,SECTOR-E-B5,40.417300,-3.678100
SEC-ESTE-M-01,SEC-ESTE-MOTO,Patrulla Motorizada 1,operator,0,active,SECTOR-E-M1,40.421140,-3.679190
SEC-ESTE-M-02,SEC-ESTE-MOTO,Patrulla Motorizada 2,operator,1,active,SECTOR-E-M2,40.421280,-3.679280
SEC-ESTE-M-03,SEC-ESTE-MOTO,Patrulla Motorizada 3,operator,2,active,SECTOR-E-M3,40.421420,-3.679370
SEC-ESTE-M-04,SEC-ESTE-MOTO,Patrulla Motorizada 4,operator,3,active,SECTOR-E-M4,40.421560,-3.679460
SEC-OESTE,PMM-OPS-20260308,Sector Oeste,command,4,active,SECTOR-O,40.418200,-3.730200
SEC-OESTE-INT-A,SEC-OESTE,Equipo Intervencion A,team,0,active,SECTOR-O-A,40.420400,-3.728400
SEC-OESTE-INT-B,SEC-OESTE,Equipo Intervencion B,team,1,active,SECTOR-O-B,40.416200,-3.731800
SEC-OESTE-MOTO,SEC-OESTE,Unidad Motorizada,unit,2,active,SECTOR-O-M,40.419400,-3.732300
SEC-OESTE-A-01,SEC-OESTE-INT-A,Agente A1,operator,0,active,SECTOR-O-A1,40.420520,-3.728510
SEC-OESTE-A-02,SEC-OESTE-INT-A,Agente A2,operator,1,active,SECTOR-O-A2,40.420640,-3.728620
SEC-OESTE-A-03,SEC-OESTE-INT-A,Agente A3,operator,2,active,SECTOR-O-A3,40.420760,-3.728730
SEC-OESTE-A-04,SEC-OESTE-INT-A,Agente A4,operator,3,active,SECTOR-O-A4,40.420880,-3.728840
SEC-OESTE-A-05,SEC-OESTE-INT-A,Agente A5,operator,4,active,SECTOR-O-A5,40.421000,-3.728950
SEC-OESTE-B-01,SEC-OESTE-INT-B,Agente B1,operator,0,active,SECTOR-O-B1,40.416100,-3.731700
SEC-OESTE-B-02,SEC-OESTE-INT-B,Agente B2,operator,1,active,SECTOR-O-B2,40.416000,-3.731600
SEC-OESTE-B-03,SEC-OESTE-INT-B,Agente B3,operator,2,active,SECTOR-O-B3,40.415900,-3.731500
SEC-OESTE-B-04,SEC-OESTE-INT-B,Agente B4,operator,3,active,SECTOR-O-B4,40.415800,-3.731400
SEC-OESTE-B-05,SEC-OESTE-INT-B,Agente B5,operator,4,active,SECTOR-O-B5,40.415700,-3.731300
SEC-OESTE-M-01,SEC-OESTE-MOTO,Patrulla Motorizada 1,operator,0,active,SECTOR-O-M1,40.419540,-3.732390
SEC-OESTE-M-02,SEC-OESTE-MOTO,Patrulla Motorizada 2,operator,1,active,SECTOR-O-M2,40.419680,-3.732480
SEC-OESTE-M-03,SEC-OESTE-MOTO,Patrulla Motorizada 3,operator,2,active,SECTOR-O-M3,40.419820,-3.732570
SEC-OESTE-M-04,SEC-OESTE-MOTO,Patrulla Motorizada 4,operator,3,active,SECTOR-O-M4,40.419960,-3.732660
